Health_Center_Name,City,State,County,Year,Abr,Total_Patients,Children,Adults_under_65,Older_Adults,Racial_Ethnic_Minority,Hispanic_Latino_Ethnicity,African_American,Asian,American_Indian_Alaskan_Native,Native_Hawaiian_Other_Pacific_Islander,More_than_one_race,Best_Served_in_another_language,Patients_at_or_below_200Pct_Poverty,Patients_at_or_below_100Pct_Poverty,Uninsured,Medicaid_CHIP,Medicare,Other_Third_Party,Medical_Services,Dental_Services,Mental_Health_Services,Substance_Abuse_Services,Vision_Services,Enabling_Services,Pct_Pts_with_Hypertension,Pct_Pts_with_Diabetes,Pct_Pts_with_Asthma,Pct_Pts_with_HIV,Prenatal_Patients,Prenatal_Patients_who_delivered,Acces_to_Prenatal_Care,Pct_Births_with_Low_Birth_Weight,Cervical_Cancer_Screening,Adolescent_Weight_Screening_and_Follow Up,Adult_Weight_Screening_and_Follow Up,Colorectal_Cancer_Screening,Childhood_Immunization,Appropriate_Asthma_Treatment_Plan,Cholesterol_Treatment_Lipid_Therapy_CAD,Heart_Attack_Stroke_Treatment_Aspirin_IVD,Blood_Pressure_Control,Total_Cost_per_Patient
"HEALTHY CONNECTIONS, INC.",MENA,Arkansas,Polk,2016,AR,9039,0.2342073,0.5892245,0.1765682,0.1396172,0.08452263,0.04026994,0.004646532,0.004425268,0.004425268,0.009624959,0.05432017,0.9743041,0.740364,0.2126341,0.3189512,0.1568758,0.3115389,0.8687908,0.2670649,0.02644098,0,0,0,0.3466329,0.1511909,0.02050172,0.003056157,23,16,0.8695652,0.1875,0.4450317,0.3273616,0.5480179,0.385584,0.4202898,0.8455882,0.6621622,0.7322971,0.5965686,941.3278
JEFFERSON COMPREHENSIVE CARE SYSTEM,PINE BLUFF,Arkansas,Jefferson,2016,AR,7812,0.1818996,0.7048131,0.1132872,0.7712964,0.02304737,0.748377,0.003116074,0.000259673,0.0124643,0.003765256,0.01472094,0.6857952,0.5941843,0.2104455,0.2703533,0.156554,0.3626472,0.8543267,0.1605223,0.001536098,0,0,0.1438812,0.4465796,0.1657091,0.08330836,0.0485466,6,0,1,0,0.5724675,0.8576512,0.8296477,0.8232094,0.5714286,0.9101124,0.8645833,0.8328446,0.5049751,1109.13
"LEE COUNTY COOPERATIVE CLINIC, INC.",MARIANNA,Arkansas,Lee,2016,AR,3170,0.08769716,0.7283912,0.1839117,0.8339756,0.01419558,0.8145995,0.001937984,0.000322997,0.009043927,0.005490956,0.01230284,0.9443472,0.6758838,0.2287066,0.1990536,0.2318612,0.3403786,0.7567824,0.3315457,0,0,0,0.05015773,0.6217185,0.2375742,0.06169237,0.002501042,2,0,0.5,0,0.285061,0.7735849,0.9672744,0.2321429,0,0.95,0.84,0.6785714,0.5477612,1389.8
"MAINLINE HEALTH SYSTEMS, INC.",PORTLAND,Arkansas,Ashley,2016,AR,12274,0.2736679,0.6175656,0.1087665,0.474602,0.05798312,0.4245718,0.001825928,0.001304234,0.001043388,0.003304061,0.02444191,0.608003,0.5365876,0.1870621,0.3592961,0.1348379,0.318804,0.8755092,0.2122373,0.0661561,0,0,0.4427245,0.2760547,0.1037988,0.01330728,0.001023637,50,22,0.74,0.08695652,0.4206741,0.9051724,0.9332412,0.3164801,0.04761905,0.9699248,0.6232877,0.8209459,0.6187794,724.913
"MID-DELTA HEALTH SYSTEMS, INC.",CLARENDON,Arkansas,Monroe,2016,AR,2739,0.2278204,0.60387,0.1683096,0.4857464,0.04563709,0.4542612,0.003127443,0.002345582,0,0.001563722,0.0343191,1,0.9414316,0.2913472,0.3158087,0.1084337,0.2844104,0.811245,0.3121577,0.02628697,0,0,0.08433735,0.432413,0.172147,0.05670567,0.00090009,15,10,0.8666667,0.2,0.5143885,0.9080189,0.983188,0.5219365,0.1176471,0.95,0.75,0.8947368,0.6986302,1117.063
RIVER VALLEY PRIMARY CARE SERVICES,RATCLIFF,Arkansas,Logan,2016,AR,16164,0.2464118,0.6289904,0.1245979,0.2500798,0.1813288,0.0484453,0.01596929,0.004299424,0.002533589,0.01389635,0.1127196,0.9683961,0.6580197,0.1881341,0.2778396,0.1568919,0.3771344,0.9271839,0.1100594,0,0,0,0,0.3515443,0.168524,0.03890038,0.000400347,37,6,1,0.1666667,0.2766351,0.1345646,0.2746086,0.2317972,0.01129944,0.9795918,0.6348837,0.7465374,0.6080978,521.313
"ST. FRANCIS HOUSE NWA, INC",SPRINGDALE,Arkansas,Washington,2016,AR,36495,0.5174407,0.4563365,0.02622277,0.7026876,0.5675808,0.02697799,0.01451448,0.01226631,0.1085036,0.01589493,0.4979312,0.8950951,0.6419247,0.3762981,0.4588574,0.01992054,0.144924,0.8771887,0.244554,0.06573503,0,0,0.05461022,0.2297907,0.1775424,0.02998782,0.000187424,1180,774,0.5305085,0.07388535,0.6080741,0.6340583,0.6411973,0.3025526,0.3428572,0.8419405,0.7304348,0.783237,0.6478555,527.1196
"ADELANTE HEALTHCARE, INC.",PHOENIX,Arizona,Maricopa,2016,AZ,61319,0.3186288,0.6140348,0.06733639,0.5660655,0.4465781,0.09019263,0.02654486,0.01053932,0.009359965,0.005166701,0.1539653,0.978329,0.7548303,0.153949,0.4285295,0.0615633,0.3559582,0.9408503,0.09690308,0.05003343,0,0,0,0.1768845,0.1227363,0.04513624,0.000485336,1888,1043,0.6551907,0.04410355,0.6714286,0.7714286,0.6285715,0.3714286,0.3285714,0.9714286,0.9714286,0.9428571,0.7,744.9159
AJO COMMUNITY HEALTH CENTER,AJO,Arizona,Pima,2016,AZ,2402,0.1906744,0.4275604,0.3817652,0.4160737,0.3503132,0.005025126,0.01842546,0.05820771,0.004606365,0.000837521,0.02123231,0.7575377,0.2198492,0.06036636,0.2485429,0.337219,0.3538718,0.8896753,0.3064113,0.1402998,0,0.01915071,0.1253122,0.4710411,0.181989,0.04258306,0,9,6,0.7777778,0,0.1151079,0.2853186,0.669126,0.1207087,0,0.9,0.8478261,0.984,0.4811443,2272.807
CANYONLANDS COMMUNITY HEALTH CARE,PAGE,Arizona,Coconino,2016,AZ,17567,0.3025559,0.573177,0.1242671,0.537972,0.1560935,0.006863418,0.005553129,0.3635116,0.00212142,0.01803207,0.02829168,0.8255613,0.5542009,0.1469801,0.4482268,0.1074173,0.2973758,0.9109125,0.1479479,0.008766437,0,0,0,0.2913106,0.1532835,0.03505812,0.000687414,344,210,0.7122093,0.06542056,0.3249211,0.1887242,0.3985236,0.2568743,0.244,0.7445256,0.75,1,0.5475819,682.697
CHIRICAHUA COMMUNITY HEALTH CENTERS,DOUGLAS,Arizona,Cochise,2016,AZ,25451,0.4319673,0.4577423,0.1102904,0.6888225,0.6475919,0.02164077,0.006103808,0.007469695,0.001024415,0.02740311,0.246395,0.9148771,0.7641353,0.3373541,0.3902794,0.04487054,0.227496,0.8911241,0.2190091,0.1336686,0,0,0.01328042,0.1812634,0.09758071,0.05352734,0.000352734,35,29,0.6,0.1333333,0.3428572,0.3969955,0.6649083,0.1168887,0.2369598,0.9097888,0.7368421,0.7166666,0.5269565,878.5248
CIRCLE THE CITY,PHOENIX,Arizona,Maricopa,2016,AZ,3051,0.04686988,0.9039659,0.04916421,0.437454,0.2395298,0.1261161,0.002232143,0.2161458,0.001488095,0.000744048,0.1740413,0.9942197,0.9483169,0.3126844,0.5955424,0.08030154,0.01147165,0.9960669,0.01671583,0.08161259,0.0704687,0,0.04818092,0.1230312,0.09420709,0.05363606,0.01020072,28,2,0.7142857,0,0.1508264,0.03191489,0.3521436,0.04263207,0,1,0.7681159,0.7666667,0.5252809,2349.438
EL RIO SANTA CRUZ NEIGHBORHOOD HEALTH CENTER,TUCSON,Arizona,Pima,2016,AZ,94190,0.3588916,0.542754,0.09835439,0.7718147,0.6486258,0.04634595,0.01549696,0.07139751,0.002363565,0.004002453,0.1583926,0.9210086,0.6628962,0.1516934,0.5462576,0.1155112,0.1865378,0.8757193,0.2522879,0.08311923,0.000923665,0.009863043,0.01039388,0.3142982,0.186909,0.07911837,0.01463314,3490,1834,0.8051576,0.04032698,0.6164056,0.6268789,0.4992982,0.559725,0.4036327,0.8228673,0.88117,0.9856419,0.6263542,1319.458
"HORIZON HEALTH AND WELLNESS, INC.",APACHE JCT,Arizona,Pinal,2016,AZ,7543,0.1614742,0.750232,0.08829378,0.3335121,0.2783574,0.03334244,0.006832468,0.009975404,0.002596338,0.00642252,0.05011269,0.8796703,0.6089616,0.04401432,0.6802333,0.1761898,0.09956251,0.6032082,0,0.8635821,0.06429803,0,0.2082726,0.2029101,0.08625963,0.04901099,0.001098901,8,6,1,0.1666667,0.6227477,0.4224138,0.3598879,0.1951439,1,1,0.9411765,0.7959183,0.5350649,902.7154
MARANA HEALTH CENTER,MARANA,Arizona,Pima,2016,AZ,43645,0.1842135,0.7016841,0.1141024,0.4698686,0.3850168,0.04384451,0.02039988,0.006343246,0.003247742,0.004465645,0.2002979,0.8730687,0.678142,0.1304617,0.4059572,0.1388934,0.3246878,0.9139649,0.121503,0.08892199,0.006300836,0,0.07533509,0.2503083,0.1519639,0.06332414,0.000651792,962,595,0.7151767,0.05490848,0.63462,0.5892357,0.9729328,0.6260464,0.3224756,0.7786885,0.7977528,0.7237277,0.593065,1014.614
MARICOPA COUNTY PUBLIC HLTH SERVS DEPT,PHOENIX,Arizona,Maricopa,2016,AZ,6788,0.3186506,0.6539481,0.0274013,0.6365438,0.3567391,0.275257,0.002835874,0.04360156,0.003544842,0.01488834,0.1607248,0.9959126,0.9616137,0.3956983,0.5204773,0.05760165,0.02622275,0.8102534,0.06614614,0.1957867,0.01473188,0.01045963,0.4543312,0.2053854,0.1116615,0.08218182,0.003818182,12,1,0.5,0,0.1352288,0.2857143,0.312422,0.0751202,0.8,0.9859155,0.6444445,0.6769231,0.4668401,491.0664
"MARIPOSA COMMUNITY HEALTH CENTER, INC",NOGALES,Arizona,Santa Cruz,2016,AZ,22711,0.4381577,0.4268416,0.1350007,0.8835133,0.8761595,0.002467556,0.004066898,0.00141656,0.000365564,0.000594041,0.1231121,0.9522909,0.8478865,0.1176963,0.52239,0.1318304,0.2280833,0.9709392,0.2279952,0.0396724,0,0,0.8524504,0.3182323,0.1561989,0.04040633,0.000181398,430,204,0.8186046,0.04411765,0.4232177,0.5477901,0.8516783,0.3460524,0.2146018,0.8529412,0.7574468,0.7669065,0.7097529,1083.374
MOUNTAIN PARK HEALTH CENTER,PHOENIX,Arizona,Maricopa,2016,AZ,80400,0.4269154,0.5242289,0.04885572,0.880693,0.7204397,0.1656127,0.0170014,0.009072709,0.005545316,0.006387441,0.426107,0.9942807,0.7455639,0.1561443,0.6454478,0.04587065,0.1525373,0.9681219,0.121306,0.3119652,0,0,0.05083333,0.2637478,0.1671876,0.06072947,0.000539589,3890,1869,0.6593831,0.06415695,0.6035123,0.9998251,0.9856755,0.4123391,0.6142857,0.9671932,0.8932147,0.9053926,0.6072192,845.3735
"NATIVE AMERICAN COMMUNITY HEALTH CENTER, INC.",PHOENIX,Arizona,Maricopa,2016,AZ,6636,0.2546715,0.6993671,0.04596142,0.8181539,0.2543143,0.074977,0.009966268,0.4794542,0.001226618,0.01195952,0.08875829,0.8924051,0.6876583,0.1339662,0.5209463,0.02169982,0.3233876,0.7393008,0.2840567,0.2424653,0.02953587,0.008589512,0.06570223,0.2214093,0.2073679,0.06135345,0.002649816,44,0,0.75,0,0.5571429,0.5142857,0.3285714,0.3,0.4230769,0.8333333,0.3333333,0.6923077,0.8285714,1701.235
NEIGHBORHOOD OUTREACH ACCESS TO HEALTH,SCOTTSDALE,Arizona,Maricopa,2016,AZ,13181,0.2196343,0.6877323,0.09263334,0.6198598,0.5507908,0.03072626,0.01063255,0.009461164,0.004685529,0.001261489,0.3434489,0.9693959,0.388911,0.3214476,0.347925,0.09475761,0.2358698,0.8841515,0.2028678,0.1549958,0,0,0.03588499,0.1881698,0.1750689,0.06058006,0.00034323,139,97,0.6402878,0.04166667,0.7714286,0.6142857,0.7571428,0.3348214,0.8915663,0.7954546,0.7773585,0.7272727,0.7188612,674.451
"NORTH COUNTRY HEALTHCARE, INC.",FLAGSTAFF,Arizona,Coconino,2016,AZ,49643,0.2007332,0.6549765,0.1442902,0.303768,0.1642844,0.01912955,0.009531602,0.1072582,0.0051307,0.05230218,0.02260137,0.8597612,0.6178607,0.172693,0.3709284,0.1162299,0.3401487,0.9335455,0.0833753,0.02943013,0,0,0.3731644,0.222211,0.1182226,0.04814,0.004358709,820,437,0.8207317,0.08658009,0.4304777,0.4122098,0.7247763,0.3533984,0.4276986,0.7714286,0.5931818,0.03939962,0.5998031,926.3772
SUN LIFE FAMILY HEALTH CENTER,CASA GRANDE,Arizona,Pinal,2016,AZ,45300,0.3048786,0.546468,0.1486534,0.5695989,0.4713245,0.06195001,0.009127504,0.003112713,0.001310616,0.02892717,0.08450331,0.9357967,0.6819901,0.1261589,0.417638,0.180883,0.2753201,0.9362252,0.1027152,0.08406181,0,0,0.01571744,0.3813802,0.2222076,0.05819245,0.001226097,1088,627,0.6902574,0.08917198,0.4857143,0.4,0.7857143,0.1714286,0.2857143,0.8714285,0.8571429,0.6714286,0.00789088,965.5016
SUNSET COMMUNITY HEALTH CENTER,SOMERTON,Arizona,Yuma,2016,AZ,26667,0.3823452,0.4735816,0.1440732,0.8723324,0.8601888,0.006515645,0.003485112,0.001666793,0.000189408,0.002197136,0.3202835,0.9970883,0.967574,0.05879927,0.5870926,0.159223,0.1948851,0.9387258,0.1087486,0,0,0,0,0.3349174,0.2320512,0.03519354,0.001517996,863,543,0.4067207,0.08058608,0.6841305,0.5393409,0.6682085,0.6241461,0.2875458,1,0.9391304,0.9345703,0.6018938,869.3582
TUBA CITY REGIONAL HEALTH CARE CORPORATION,TUBA CITY,Arizona,Coconino,2016,AZ,3100,0.5641935,0.3625807,0.0732258,0.995481,0.001935484,0.000323415,0,0.9951488,0,0,0.02290323,0.7474227,0.4608247,0.1887097,0.5238709,0.0683871,0.2190323,0.4277419,0.642258,0,0,0,0,0.6466789,0.4701838,0.06561086,0.001508296,1,0,0,0,0.3142857,0.05714286,0.3857143,0.3786667,0.25,1,0.3333333,0.8333333,0.6571429,408.301
"UNITED COMMUNITY HEALTH CENTER, INC.",GREEN VALLEY,Arizona,Pima,2016,AZ,17378,0.404592,0.3997583,0.1956497,0.4359797,0.3642061,0.02203142,0.01198083,0.01477636,0.004592652,0.08699414,0.08015882,0.6737723,0.4199946,0.02957763,0.2948556,0.2122224,0.4633445,0.943837,0.1098515,0,0,0,0.002416849,0.390422,0.146943,0.03511767,0.000121936,13,1,0.8461539,0,0.5177103,0.7344479,0.9316691,0.4142857,0.4023669,0.8869565,0.7382813,0.8230519,0.5366648,607.5732
"VALLE DEL SOL, INC.",PHOENIX,Arizona,Maricopa,2016,AZ,1314,0.5289193,0.45586,0.0152207,0.7076271,0.6065306,0.07400881,0.005286343,0.002643172,0.004405286,0.008810572,0.2526636,0.9537954,0.7986799,0.08675799,0.6202435,0.02283105,0.2701674,0.9414003,0,0.195586,0,0,0,0.2608427,0.1468147,0.04850445,0.002425222,5,2,1,0,0.02536232,0.9529837,0.3551724,0.01960784,0.4054054,1,0,0.2,0.6644737,885.3417
WESLEY COMMUNITY CENTER INC,PHOENIX,Arizona,Maricopa,2016,AZ,6509,0.1092334,0.842833,0.04793363,0.9350549,0.8692884,0.06472968,0.009930122,0.003677823,0.000367782,0.006620081,0.6930404,0.9762058,0.7697749,0.7544938,0.1339684,0.02181595,0.08972193,1,0,0.03856199,0,0,0,0.1735594,0.1369287,0.02765402,0.000614534,74,48,0.5675676,0.0625,0.6,0.4,0.5285714,0.1857143,0.4333333,0.9777778,0.8095238,0.7272727,0.5812562,453.096
YAVAPAI COUNTY COMMUNITY HEALTH SERVICES,PRESCOTT,Arizona,Yavapai,2016,AZ,13692,0.1685656,0.6815659,0.1498685,0.3884753,0.3563142,0.01085809,0.01183834,0.01236616,0.00354396,0.001583472,0.1614081,0.9223676,0.6586458,0.3800029,0.3081361,0.1641104,0.1477505,0.9672801,0.1469471,0.01387672,0,0,0.04031551,0.2432317,0.1280652,0.04205678,0.000528541,84,49,0.8095238,0.1020408,0.6571429,0.7285714,0.9714286,0.3472165,0.4142857,0.8921568,0.7714286,0.9142857,0.7038578,635.565
"AAA COMPREHENSIVE HEALTHCARE, INC",N HOLLYWOOD,California,Los Angeles,2016,CA,3715,0.1152086,0.8500673,0.03472409,0.9389966,0.8409152,0.04984155,0.000864304,0,0,0.001152406,0.3076716,0.975,0.8026163,0.01991925,0.938358,0.03149394,0.0102288,1,0.01803499,0.005652759,0,0,0,0.07612351,0.03249768,0.005114401,0,16,8,0.75,0,0.912899,1,0.838922,0.07540984,0,1,0.5789474,0.46,0.6907631,371.2902
ACHIEVABLE FOUNDATION THE,CULVER CITY,California,Los Angeles,2016,CA,1582,0.2844501,0.6782554,0.03729456,0.6909814,0.3545454,0.2886519,0.06473725,0.003046459,0.01827875,0.02894136,0.1042984,0.9415627,0.6388707,0.03603034,0.7225032,0.1131479,0.1283186,1,0,0.02465234,0,0,0,0.1753764,0.0921288,0.0505689,0.002528445,24,9,0.7083333,0,0.3976143,0.5502958,0.4036199,0.3028391,0.5,1,1,1,0.6161616,1068.894
ALAMEDA COUNTY HEALTH CARE SERVICES AGENCY,OAKLAND,California,Alameda,2016,CA,8265,0.07658802,0.816213,0.107199,0.8638387,0.3092435,0.6044639,0.1405049,0.006220271,0.01591657,0.02488108,0.2392015,0.9983998,0.9643033,0.4361767,0.4279492,0.09739867,0.0384755,0.6963097,0.08118572,0.06098004,0.1701149,0.07029643,0.246703,0.1897435,0.2493854,0.0333623,0.01998262,78,40,0.6153846,0.075,0.5857143,0.8571429,0.6285715,0.4714286,0.6875,0.9142857,0.6923077,0.9428571,0.7571428,1639.489
"ALL FOR HEALTH, HEALTH FOR ALL",GLENDALE,California,Los Angeles,2016,CA,13941,0.1297611,0.6872534,0.1829854,0.2503333,0.1805099,0.03379187,0.02459629,0,0.006279904,0.01427931,0,0.9810089,0.7737205,0.1241661,0.6825909,0.103938,0.08930493,0.8838677,0.01850656,0.1194319,0,0,0.06541855,0.260494,0.1442667,0.04431099,0,54,34,0.8703704,0.1176471,0.6900493,0.7192785,0.6705804,0.4299416,0.7603306,0.7903226,0.8266667,0.8103837,0.6288099,574.2014
ALL-INCLUSIVE COMMUNITY HEALTH CENTER,BURBANK,California,Los Angeles,2016,CA,9103,0.1227068,0.8268703,0.05042294,0.4608577,0.3529866,0.05241017,0.0913234,0.001051709,0.000525855,0.01034181,0.3742722,0.9757367,0.7087303,0.05569592,0.8419203,0.03053938,0.07184444,1,0,0.03350544,0,0,0,0.1958051,0.07275267,0.01373174,0.000768977,9,7,0.6666667,0.2857143,0.7858168,0.8683901,0.9496619,0.8095238,0.8235294,0.992,0.9100529,0.9225807,0.8030789,327.7392
"ALLIANCE MEDICAL CENTER, INC.",HEALDSBURG,California,Sonoma,2016,CA,12144,0.3562253,0.5727108,0.0710639,0.6966785,0.6746799,0.01542181,0.009003001,0.000833611,0.001417139,0.003001,0.5473485,0.9557636,0.6564944,0.1613142,0.6700428,0.0557477,0.1128953,0.7276844,0.4746377,0.05961792,0,0,0.01309289,0.1719111,0.1095129,0.05816454,0.000113161,208,95,0.875,0.106383,0.7007211,0.4796512,0.2677899,0.4233577,0.3376623,0.8961039,0.725,0.8461539,0.5439504,1142.051
ALTA MED HEALTH SERVICES CORPORATION,COMMERCE,California,Los Angeles,2016,CA,203922,0.4038701,0.5438207,0.05230922,0.9072838,0.8336426,0.03547746,0.04856469,0.006473541,0.01197474,0.002689279,0.2435196,0.9644969,0.8181655,0.1460755,0.6788331,0.04239366,0.1326978,0.9701798,0.2320103,0.0153392,0,0.006806524,0.1275684,0.1753664,0.1591216,0.04961054,0.008087303,4931,2602,0.8144392,0.05798771,0.6881857,0.6161638,0.7959188,0.5723667,0.4178053,0.8848088,0.6319588,0.8076609,0.6477727,2258.596
ALTURA CENTERS FOR HEALTH,TULARE,California,Tulare,2016,CA,27309,0.3793987,0.5638434,0.05675784,0.8377106,0.7578186,0.1467758,0.07712193,0.01407439,0.01163292,0.04638805,0.3164891,0.9653401,0.7351775,0.08660149,0.7465671,0.06492365,0.1019078,0.8859717,0.2175107,0.01512322,0,0.02021312,0.06752352,0.2530432,0.1426766,0.07960322,0.000289316,1163,566,0.8177128,0.07583774,0.4678136,0.7056559,0.3808259,0.4678288,0.5293186,0.9865643,0.7719298,0.7794118,0.5503445,862.9664
AMERICAN INDIAN HEALTH & SERVICES,SANTA BARBARA,California,Santa Barbara,2016,CA,6249,0.4136662,0.5032805,0.08305329,0.7205954,0.6024252,0.0151936,0.02940696,0.1083156,0.002613952,0.002613952,0.1581053,0.9430737,0.6568295,0.05648904,0.8316531,0.08577372,0.02608417,0.6879501,0.5583293,0.02640422,0.001280205,0,0,0.1506896,0.1161548,0.06559665,0,28,14,0.9642857,0.06666667,0.5290135,0.3439226,0.7984855,0.6828992,0.46875,0.8142857,0.6,0.5714286,0.7473404,1289.177
AMPLA HEALTH,YUBA CITY,California,Sutter,2016,CA,68939,0.2843964,0.6268295,0.08877414,0.5308865,0.3842818,0.02552839,0.100158,0.003715683,0.00365551,0.005039488,0.1500022,0.9202597,0.6233818,0.1150437,0.643801,0.1197435,0.1214117,0.8928183,0.1852652,0.01952451,0,0,0,0.3045184,0.181902,0.06331438,0.004597888,337,92,0.9376855,0.05434782,0.2628198,0.1531797,0.2502511,0.1701541,0.2271845,0.7760618,0.7513322,0.7537012,0.6471119,689.6449
"ANDERSON VALLEY HEALTH CENTER, INC",BOONVILLE,California,Mendocino,2016,CA,2761,0.2698298,0.5505252,0.1796451,0.4199418,0.4092062,0.004735883,0.001821494,0.001457195,0.000728598,0.003642987,0.3064107,0.6323174,0.1843251,0.2267295,0.3458892,0.1245925,0.3027889,0.8866353,0.326331,0.0467222,0,0,0.05795002,0.2123705,0.1035851,0.04370915,0.000408497,1,1,0,0,0.3701755,0.3992172,0.3159297,0.2714286,0,0.8571429,0.9183673,0.8481013,0.5027027,977.9877
ANTELOPE VALLEY COMMUNITY CLINIC,LANCASTER,California,Los Angeles,2016,CA,26265,0.3240815,0.6281744,0.04774415,0.806954,0.5130113,0.2731453,0.01863834,0.00313352,0.001546413,0.01387702,0.2502951,0.9872826,0.8629687,0.1101085,0.819189,0.04169046,0.02901199,0.8877975,0.265791,0.04302303,0,0,0,0.2810701,0.1798828,0.07226177,0.001157904,426,231,0.4835681,0.08154506,0.4373807,0.6,0.8577862,0.5428572,0.1714286,0.9580153,0.8571429,0.8973684,0.5107685,588.3801
APLA HEALTH & WELLNESS,LOS ANGELES,California,Los Angeles,2016,CA,3594,0.001669449,0.9410128,0.05731775,0.7738872,0.3970048,0.3569908,0.04222853,0.006032647,0.005322924,0.03655075,0.2020033,0.9133402,0.6526783,0.3330551,0.5628826,0.04312744,0.06093489,0.5189204,0.5397885,0.13133,0,0,0.03338898,0.1733778,0.07334522,0.04879357,0.2032172,0,0,0,0,0.546371,0,0.754196,0.3114355,0,0.9565217,1,0.9166667,0.5093167,2088.821
ARROYO VISTA FAMILY HEALTH FOUNDATION,LOS ANGELES,California,Los Angeles,2016,CA,23930,0.271542,0.6550355,0.07342248,0.9671508,0.9209095,0.01423225,0.0312223,0.001181917,0.002905545,0.01359204,0.1836189,0.9755251,0.7865007,0.3928124,0.5282491,0.04329294,0.03564563,0.9134977,0.1640618,0,0,0.1052654,0.137359,0.2670802,0.1894251,0.04304666,0.000914913,510,207,0.827451,0.105,0.5128445,0.9858763,0.9938497,0.626943,0.2175325,0.8514987,0.8088235,0.8534483,0.7087379,797.6119
"ASIAN AMERICANS FOR COMMUNITY INVOLVEMENT OF SANTA CLARA, INC, THE",SAN JOSE,California,Santa Clara,2016,CA,2310,0.09696969,0.3761905,0.5268399,0.9220265,0.08006962,0.0263902,0.8510839,0.02120641,0.001413761,0.004241282,0.7168831,0.9515828,0.8063315,0.05064935,0.5064935,0.3268398,0.1160173,1,0,0.04978355,0,0,0,0.5481108,0.1974432,0.02207792,0.0004329,1,0,1,0,0.689441,0.8087432,0.7950581,0.7325581,0.6,0.9473684,0.8461539,0.8181818,0.5330882,1696.171
"ASIAN AND PACIFIC ISLANDER WELLNESS CENTER, INC.",SAN FRANCISCO,California,San Francisco,2016,CA,478,0,0.9728034,0.02719665,0.7505774,0.1266375,0.105,0.4675,0.015,0.0425,0.0975,0.0334728,0.8421053,0.4210526,0.3158996,0.4916318,0.0167364,0.1757322,0.7970712,0,0.2384937,0.1066946,0,0,0.09711286,0.01841122,0.02362205,0.04199475,0,0,0,0,0.1341463,0,0.5119364,0.03389831,0,1,1,1,0.3513514,2590.563
"ASIAN HEALTH SERVICES, INC.",OAKLAND,California,Alameda,2016,CA,28101,0.2211309,0.5446069,0.2342621,0.9907513,0.01385162,0.01938255,0.95705,0.001468375,0.00058735,0.002973459,0.683392,0.9726659,0.8127397,0.03320166,0.6683748,0.1935518,0.1048717,0.9282944,0.2005623,0.05273833,0,0,0.04142201,0.4000062,0.1782162,0.04450663,0.002108411,527,246,0.8975332,0.06451613,0.7277961,0.7116148,0.791357,0.6705839,0.7943038,0.8492063,0.6967213,0.8180147,0.709444,1331.273
ASIAN PACIFIC HEALTH CARE VENTURE,LOS ANGELES,California,Los Angeles,2016,CA,14188,0.1876938,0.7151114,0.09719481,0.8955846,0.2427685,0.01648078,0.6374938,0.001278682,0.007458976,0.01690701,0.4163378,0.9396003,0.6975526,0.3173104,0.5798562,0.05265013,0.05018326,0.9689174,0,0.02628982,0,0,0.04828024,0.3215146,0.183662,0.03986324,0.001018404,258,132,0.8178294,0.1203008,0.6564303,0.7067669,0.8995494,0.4281431,0.6067415,0.9325153,0.8644689,0.8333333,0.7480447,1022.889
AVENAL COMMUNITY HEALTH CENTER,AVENAL,California,Kings,2016,CA,14226,0.3895684,0.5341628,0.07626881,0.9190496,0.8797071,0.01218655,0.01078041,0.4036794,0.02355285,0.00351535,0.3093631,0.956195,0.7380865,0.1729228,0.5996063,0.07444116,0.1530297,0.9982427,0.2433572,0.08393083,0.000843526,0.08182202,0.177281,0.1530063,0.09785928,0.03542004,0.000211253,188,120,0.8457447,0.03333334,0.2571429,0.3857143,0.5142857,0.2285714,0.2142857,0.9166667,0.7285714,0.2285714,0.5428572,779.7816
AXIS COMMUNITY HEALTH,PLEASANTON,California,Alameda,2016,CA,12233,0.18867,0.6942696,0.1170604,0.698584,0.4055395,0.03477371,0.2209154,0.005113781,0.01142078,0.03179068,0.3621352,0.952522,0.7476168,0.3273931,0.6231505,0.03090002,0.01855636,0.9152293,0,0.07814927,0.06801275,0,0.03171749,0.3106584,0.1688008,0.01598785,0.000535906,318,192,0.7955975,0.05263158,0.5880422,0.6450742,0.6983722,0.6602814,0.7857143,0.8953488,0.9166667,0.9127726,0.5517119,1248.743
BARTZ-ALTADONNA COMMUNITY HEALTH CENTER,LANCASTER,California,Los Angeles,2016,CA,4456,0.1297127,0.8144075,0.05587971,0.77853,0.4790545,0.2542751,0.02428748,0.002973978,0.002973978,0.02478315,0.2425943,0.9706745,0.7928886,0.2852334,0.6023339,0.06620287,0.0462298,0.8004937,0,0.05273788,0,0,0.1216338,0.3071345,0.1679001,0.08466499,0.03083824,63,5,0.4761905,0.2,0.5714286,0.6714286,0.5042318,0.2142857,0.6190476,0.968421,0.7142857,0.7272727,0.5221053,936.3151
