<<<<<<< HEAD
﻿Site Name,Services Delivered at Site,Health Center Type,Health Center Location Type,Health Center Location Setting,County,State
AMA Family,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Manatee County,FL
"Family Health Care Clinic, Inc., --Columbia",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Marion County,MS
"Tri-County Family Medicine Program, Inc. -  Admin",No,Administrative,Permanent,Unknown,Livingston County,NY
"FAMILY HEALTH CENTERS OF BALTIMORE, INC.",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Baltimore City,MD
SEW FRIEL MIGRANT CAMP,Yes,Service Delivery Site,Seasonal,All Other Clinic Types,Queen Anne's County,MD
Tishomingo Health Care Associates,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Tishomingo County,MS
"Proteus, Inc. - Fort Dodge Site",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Webster County,IA
La Clinica School-Based Health Center at Washington Elementary School,Yes,Service Delivery Site,Seasonal,School,Jackson County,OR
Aria Community Health Center - AMC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kings County,CA
MMHP Lewiston,No,Administrative,Permanent,Unknown,Androscoggin County,ME
SANDERSVILLE COMMUNITY HLTH CTR,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Washington County,GA
Omni Family Health,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Fresno County,CA
Broad Top Area Medical Center Family Care Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Huntingdon County,PA
Joseph P. Addabbo Family Health Center at Sutphin Blvd.,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Queens County,NY
Port Lions Health Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kodiak Island Borough,AK
NCHS Patient Navigation Center,No,Administrative,Permanent,Unknown,San Diego County,CA
CareConnect Urgent Care,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Tift County,GA
Pushmataha Family Medical Center of Boswell,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Choctaw County,OK
Callen-Lorde Mobile Unit,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Bronx County,NY
FCPC Bibb County Health Dept,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bibb County,GA
Waikiki Health PATH,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Honolulu County,HI
Park Hill Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Denver County,CO
CURTIS V. COOPER PRI HLTH CARE,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Chatham County,GA
Healthy Partners,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Mississippi County,AR
BSHC Mobile Dental Unit #1,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Martin County,KY
Community Health Service Inc. - Willmar,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kandiyohi County,MN
Grand Avenue Health Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Lake County,IL
PUREVIEW HEALTH CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lewis and Clark County,MT
Glacier Dental Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Glacier County,MT
MT. PLEASANT FAMILY HLTH CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Marshall County,MS
KARUK TRIBE OF CALIFORNIA,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Siskiyou County,CA
Casa del Sol II,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Alameda County,CA
CHILD & ADOLESCENT WELLNESS CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,El Paso County,TX
HIV Health Services Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Multnomah County,OR
MEHOP Women and Children Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Matagorda County,TX
CVHS Charles City,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Charles City County,VA
ALEUTIAN/PRIBILOF ISLANDS ASSOCIATION,No,Administrative,Permanent,Unknown,Anchorage Borough,AK
CAIRO MEGA CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Alexander County,IL
Gaffney Elementary School - SBHC,Yes,Service Delivery Site,Permanent,School,Hartford County,CT
PATHS Community Medical Center - Danville,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Danville City,VA
CVCH Wenatchee Clinic,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Chelan County,WA
CVCH Hope Health,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Chelan County,WA
CareSouth @ GEO Prep Academy Mid City,Yes,Service Delivery Site,Seasonal,School,East Baton Rouge Parish,LA
Mercy office at Marshall Co Cornersville Middle/High school,Yes,Service Delivery Site,Permanent,School,Marshall County,TN
"Kenosha Community Health Center, Inc.",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kenosha County,WI
EDGAR H. PRICE FAMILY & CHILDREN HEALTHCARE CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Manatee County,FL
CVC MOBILE HEALTH VAN SBHCC,Yes,Service Delivery Site,Mobile Van,School,Chatham County,GA
Clinton Lower Health Center (CLHC),Yes,Service Delivery Site,Seasonal,All Other Clinic Types,East Feliciana Parish,LA
San Ysidro Health Mobile Health Services 1H,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,San Diego County,CA
Sierra Vista Administration Office Suite 400,No,Administrative,Permanent,All Other Clinic Types,Cochise County,AZ
Family Health Center at Holly Hill,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Orangeburg County,SC
The Triumph,Yes,Service Delivery Site,Permanent,All Other Clinic Types,District of Columbia,DC
KVHC Houlton Elementary School,Yes,Service Delivery Site,Permanent,School,Aroostook County,ME
Caledonia Central Supervisory Union Twinfield School,Yes,Service Delivery Site,Seasonal,School,Washington County,VT
Carroll Floyd Dr,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Carroll County,KY
WHITE COUNTY HEALTH DEPARTMENT,Yes,Service Delivery Site,Permanent,All Other Clinic Types,White County,TN
Ovid Community Health,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Seneca County,NY
PROJECT VIDA HEALTH CENTER,No,Administrative,Permanent,Unknown,El Paso County,TX
Administrative Offices,No,Administrative,Permanent,All Other Clinic Types,Ellis County,TX
Adult and Child Health - Greenwood,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Marion County,IN
Keystone Chiropractic Services,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Franklin County,PA
Wallace Dental Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Multnomah County,OR
Turtle Lake Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,McLean County,ND
HealthNet Administration,No,Administrative,Permanent,All Other Clinic Types,Marion County,IN
AccessHealth Fayette Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Fayette County,WV
Dorothy M. Wallace COPE Center,Yes,Service Delivery Site,Permanent,School,Miami-Dade County,FL
INTERCARE BANGOR,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Van Buren County,MI
FCCH/RIO GRANDE HIGH SCHOOL SBHC,Yes,Service Delivery Site,Seasonal,School,Bernalillo County,NM
"Shawnee Health Care, Carterville",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Williamson County,IL
Vida Sana Family Practice 2,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Tulare County,CA
PINES Caribou Health Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Aroostook County,ME
WOODLAND CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cowlitz County,WA
Mission City Community Network -  Parthenia,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
2 Old County Road,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bristol County,RI
HHC-Foose School,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Dauphin County,PA
MIDLAND CHC -ADULT FAMILY SVS,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Midland County,TX
COMMUNITY HEALTH CENTER OF ENFIELD,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Hartford County,CT
South Napa Shelter,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Napa County,CA
Wingdale Elementary School,Yes,Service Delivery Site,Seasonal,School,Dutchess County,NY
Erlanger Premier Healthcare Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Hamilton County,TN
Henrietta Johnson Medical Center at Claymont,Yes,Service Delivery Site,Permanent,All Other Clinic Types,New Castle County,DE
DURANT CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Holmes County,MS
DORCHESTER HOUSE MULTI SVS/WIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Suffolk County,MA
Muskingum Valley Health Center - Cambridge,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Guernsey County,OH
Lincoln Elementary School,Yes,Service Delivery Site,Seasonal,School,Hall County,NE
YWCA Head Start Program,Yes,Service Delivery Site,Seasonal,School,St. Louis County,MO
"NEWARK COMMUNITY HEALTH CENTERS, INC.",Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Essex County,NJ
Rural Health Group at Halifax Medical Specialist,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Halifax County,NC
GILROY NEIGHBORHOOD HEALTH CLINIC,Yes,Service Delivery Site,Permanent,School,Santa Clara County,CA
Harborcreek Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Erie County,PA
St. Thomas Community Wellness Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Orleans Parish,LA
St. Patrick's Women's Shelter,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Middlesex County,MA
NEWPORT SCHOOL BASED HEALTH CENTER,Yes,Service Delivery Site,Permanent,School,Lincoln County,OR
Betty Dupree Health Care Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Berrien County,GA
Noble/Allbritton Elementary School Based Clinic,Yes,Service Delivery Site,Seasonal,School,Ashley County,AR
CORPORACION DE SERVICIOS MEDICOS PRIMARIOS Y PREVENCION DE HATILLO,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Hatillo Municipio,PR
Mobile Dental,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Carbon County,MT
Community Health Alliance Administration,No,Administrative,Permanent,Unknown,Washoe County,NV
DRY CREEK MEDICAL CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Unicoi County,TN
BronxCare Health and Wellness Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bronx County,NY
GARY COMMUNITY HEALTH CENTER,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Lake County,IN
Howard Brown Health at TPAN,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cook County,IL
WellSpace Health - South Valley Children's Dental Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Sacramento County,CA
Coastal Health Alliance,No,Administrative,Permanent,All Other Clinic Types,Marin County,CA
WELD COUNTY HEALTH DEPT. PRENATAL CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Weld County,CO
Utah Partners for Health Dental &amp; Behavioral Health,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Salt Lake County,UT
PMS - LOVING HEALTH CTR,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Eddy County,NM
CHP Harvard Dental Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,McHenry County,IL
Rutherford Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Rutherford County,NC
LW Higgins High School SBHC,Yes,Service Delivery Site,Permanent,School,Jefferson Parish,LA
Medina County - Wadsworth,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Medina County,OH
North Street,No,Administrative,Permanent,Unknown,Pike County,OH
HealthLinc Centennial (South Bend),Yes,Service Delivery Site,Permanent,Hospital,St. Joseph County,IN
Coast Community Health - Wellness Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Curry County,OR
VCC:  LA TORTUGA,No,Administrative,Permanent,All Other Clinic Types,San Diego County,CA
Somerset Pediatric and Adolescent Associates,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Pulaski County,KY
Costa Salud Community Health Centers - Rincon,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Rincon Municipio,PR
Financial Services Offices,No,Administrative,Permanent,Unknown,Webster County,KY
Sea Mar CHC - Bellingham Cordata Parkway,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Whatcom County,WA
VICTORIA AVE. ADMIN SITE,No,Administrative,Permanent,Unknown,Lee County,FL
Louis B. Russell #48,Yes,Service Delivery Site,Seasonal,School,Marion County,IN
LifeLong Medical Care - Downtown Oakland Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Alameda County,CA
Cadillac Schools Behavioral Health Services ( Lincoln School ),Yes,Service Delivery Site,Seasonal,School,Wexford County,MI
North Coast Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cuyahoga County,OH
Banyan Community Health Center-Cutler Bay,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Miami-Dade County,FL
PS 57/James Weldon Johnson School-Based Health Center,Yes,Service Delivery Site,Permanent,School,New York County,NY
"Sunset CHC School-based Clinic, O.C. Johnson Elementary School",Yes,Service Delivery Site,Seasonal,School,Yuma County,AZ
County of Monterey - Clinic Services Finance / Billing,No,Administrative,Permanent,All Other Clinic Types,Monterey County,CA
NeoHealth Muskogee,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Muskogee County,OK
Temporary Site - Estadio Municipal de Yauco,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Yauco Municipio,PR
NEW HORIZON FAMILY HEALTH SERVICES,No,Administrative,Permanent,All Other Clinic Types,Greenville County,SC
Ben Archer Health Center - Hatch,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Dona Ana County,NM
HRHCare Nyack,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Rockland County,NY
Maricopa Center for Women,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Pinal County,AZ
CARONDELET,Yes,Service Delivery Site,Permanent,All Other Clinic Types,St. Louis City,MO
Banks Elementary School,Yes,Service Delivery Site,Permanent,School,Lenoir County,NC
West Virginia Wesleyan College Wellness Center,Yes,Service Delivery Site,Seasonal,School,Upshur County,WV
Puritas Community Health Center  (Relocation),Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cuyahoga County,OH
CIFC/CHCGD Mobile Health Unit,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Fairfield County,CT
"Cempa Prevention, Education, and Outreach",No,Administrative,Permanent,All Other Clinic Types,Hamilton County,TN
Ithaca Middle/High School,Yes,Service Delivery Site,Seasonal,School,Gratiot County,MI
PCC Melrose Park Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cook County,IL
"Good Shepherd Community Clinic, Inc.",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Carter County,OK
Miami Beach Community Health Center North STE 408,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Miami-Dade County,FL
Patient Home or Residence,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Wheeler County,OR
OneWorld Mobile Dental Clinic - Care Mobile,No,Administrative,Permanent,School,Douglas County,NE
FAMILY SUPPORT CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kings County,NY
Maria de los Santos Women's Health Center,Yes,Service Delivery Site,Permanent,Hospital,Philadelphia County,PA
United Health Centers - Reedley,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Fresno County,CA
WHEELING HEALTH RIGHT CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Ohio County,WV
Sea Mar CHC - Administration,No,Administrative,Permanent,Unknown,King County,WA
RKM Primary Care Springfield,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Livingston Parish,LA
